id	state_name	county_name	pop2014	bush_donors	bush_donations	carson_donors	carson_donations	christie_donors	christie_donations	clinton_donors	clinton_donations	cruz_donors	cruz_donations	fiorina_donors	fiorina_donations	graham_donors	graham_donations	huckabee_donors	huckabee_donations	jindal_donors	jindal_donations	kasich_donors	kasich_donations	omalley_donors	omalley_donations	pataki_donors	pataki_donations	paul_donors	paul_donations	rubio_donors	rubio_donations	sanders_donors	sanders_donations	santorum_donors	santorum_donations	trump_donors	trump_donations
1001	Alabama	Autauga County	55395	0	0	7	2570	0	0	0	0	0	0	0	0	0	0	3	1500	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	1	250
1003	Alabama	Baldwin County	200111	13	12150	26	7254	0	0	4	4952	9	2750	2	1000	0	0	3	2200	0	0	0	0	0	0	0	0	4	1200	4	900	2	261	2	5400	2	500
1005	Alabama	Barbour County	26887	0	0	1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	1	250
1007	Alabama	Bibb County	22506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1009	Alabama	Blount County	57719	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
1011	Alabama	Bullock County	10764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1013	Alabama	Butler County	20296	0	0	0	0	0	0	0	0	2	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1015	Alabama	Calhoun County	115916	0	0	3	2000	0	0	2	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1017	Alabama	Chambers County	34076	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0	0	0	0	0
1019	Alabama	Cherokee County	26037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	200	0	0	0	0
1021	Alabama	Chilton County	43931	0	0	1	200	0	0	0	0	1	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1023	Alabama	Choctaw County	13323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1025	Alabama	Clarke County	24945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	500	0	0	0	0	0	0
1027	Alabama	Clay County	13552	1	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1500	0	0	0	0	0	0	0	0
1029	Alabama	Cleburne County	15080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1031	Alabama	Coffee County	50909	0	0	5	1553	0	0	5	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	701	0	0	2	500	0	0	0	0
1033	Alabama	Colbert County	54543	0	0	3	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2700	0	0	0	0	0	0	0	0
1035	Alabama	Conecuh County	12670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1037	Alabama	Coosa County	10886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1039	Alabama	Covington County	37914	0	0	1	1000	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0
