Candidates,Most_donations,state_Most_donations,county_Most_donations,Highest_per_head_donations,state_name_per_head_donations,county_name,pop2014,Most_number_of_donors,county_most_donors,state_most_donors,Marco_Rubio,Marco_Rubio_State,Ted_Cruz,Ted_Cruz_State,Hillary_Clinton,Hillary_Clinton_state,Bernie_Sanders,Bernie_Sanders_state,Jeb_Bush,Jeb_Bush_State,Donald_Trump,Donald_Trump_State,state_name_Rubio,Rubio_donations,state_name_Cruz,Cruz_donations,state_name_Clinton,Clinton_donations,state_name_Sanders,Sanders_donations,state_name_Bush,Bush_donations,state_name_Trump,Trump_donations
Marco Rubio,8886669,Florida,Miami-Dade County,69057.5,California,Contra Costa,1111339,973,California,Los Angeles County,60000,Florida,30000,California,60000,Florida,30000,California,60000,Florida,30000,California,Arkansas,9991057,Arkansas,9760613,West Virginia,9830530,Minnesota,9901137,West Virginia,9971433,Virginia,9270951
Ted Cruz,2254103,Pennsylvania,Montgomery County,161007.4,Pennsylvania,Montgomery,816857,143,Texas,Harris County,50000,Pennsylvania,25000,New York,50000,Pennsylvania,25000,New York,50000,Pennsylvania,25000,New York,Idaho,9622506,Idaho,9691456,New York,9717213,Kansas,9790768,New York,9804522,Alabama,9006146
Hillary Clinton,1060919,Louisiana,Lafourche Parish,126350,Montana,Flathead County,938098,78,Louisiana,East Baton Rouge Parish,40000,Louisiana,20000,Massachusetts,40000,Louisiana,20000,Massachusetts,40000,Louisiana,20000,Massachusetts,Tennessee,9361878,Tennessee,9641633,New Mexico,9605370,New Hampshire,9731025,New Mexico,9719728,Rhode Island,8733236
Bernie Sanders,472257,California,Los Angeles County,2700,"Iowa, Maryland","Muscatine, Charles",42903,970,California,Los Angeles County,30000,California,15000,Florida,30000,California,15000,Florida,30000,California,15000,Florida,Louisiana,9213449,Louisiana,9421435,Idaho,9426339,Washington,9464354,Idaho,9387677,Kentucky,8433963
Jeb Bush,321697,New York,New York County,25000,Washington,King County,2079967,79,New York,New York County,20000,New York,10000,Pennsylvania,20000,New York,10000,Pennsylvania,20000,New York,10000,Pennsylvania,Michigan,9193246,Michigan,9408270,Texas,9409977,Nevada,9438547,Texas,8986016,Missouri,8349306
Donald Trump,174922,Massachusetts,Norfolk County,14576.83,Massachusetts,Norfolk,692254,47,New York,New York County,10000,Massachusetts,5000,Louisiana,10000,Massachusetts,5000,Louisiana,10000,Massachusetts,5000,Louisiana,Utah,9049354,Utah,9118778,Alaska,9050958,Utah,9126585,Alaska,8157089,Colorado,8334143
,,,,,,,,,,,,,,,,,,,,,,,Florida,8982616,Florida,8713518,Maine,8943533,Maryland,9082400,Maine,8147749,Washington,8306902
,,,,,,,,,,,,,,,,,,,,,,,California,8759296,California,8588895,Montana,8934770,South Carolina,8869629,Montana,8119021,Wisconsin,8224118
,,,,,,,,,,,,,,,,,,,,,,,South Dakota,8741226,South Dakota,8441425,District of Columbia,8623713,Iowa,8635690,District of Columbia,7801258,Kansas,8155268
,,,,,,,,,,,,,,,,,,,,,,,Nevada,8715059,Nevada,8356709,Indiana,8383331,California,8504460,Indiana,7674679,Michigan,7936587
